,order_id,customer_id,customer_city,tiempo_entrega_menor_8
0,e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,sao paulo,False
9,e6ce16cb79ec1d90b1da9085a6118aeb,494dded5b201313c64ed7f100595b95c,rio de janeiro,False
10,34513ce0c4fab462a55830c0989c7edb,7711cf624183d843aafe81855097bc37,sao paulo,True
12,5ff96c15d0b717ac6ad1f3d77225a350,19402a48fe860416adf93348aba37740,sao paulo,True
13,432aaf21d85167c2c86ec9448c4e42cc,3df704f53d3f1d4818840b34ec672a9f,sao paulo,False
15,403b97836b0c04a622354cf531062e5f,738b086814c6fcc74b8cc583f8516ee3,rio de janeiro,False
19,203096f03d82e0dffbc41ebc2e2bcfb7,d2b091571da224a1b36412c18bc3bbfe,sao paulo,False
20,f848643eec1d69395095eb3840d2051e,4fa1cd166fa598be6de80fa84eaade43,sao paulo,True
21,2807d0e504d6d4894d41672727bc139f,72ae281627a6102d9b3718528b420f8a,sao paulo,True
24,fbf9ac61453ac646ce8ad9783d7d0af6,3a874b4d4c4b6543206ff5d89287f0c3,rio de janeiro,False
25,acce194856392f074dbf9dada14d8d82,7e20bf5ca92da68200643bda76c504c6,salvador,False
29,f70a0aff17df5a6cdd9a7196128bd354,456dc10730fbdba34615447ea195d643,sao paulo,False
31,989225ba6d0ebd5873335f7e01de2ae7,816f8653d5361cbf94e58c33f2502a5c,sao paulo,False
38,7206b86ea789983f7a273ea7fa0bc2a8,3391c4bc11a817e7973e498b0b023158,sao paulo,False
41,948097deef559c742e7ce321e5e58919,8644be24d48806bc3a88fd59fb47ceb1,brasilia,False
43,6ebaec694d7025e2ad4a05dba887c032,4f28355e5c17a4a42d3ce2439a1d4501,rio de janeiro,False
47,2ce1ad82022c1ba30c2079502ac725aa,7f2178c5d771e17f507d3c1637339298,sao paulo,True
50,9faeb9b2746b9d7526aef5acb08e2aa0,79183cd650e2bb0d475b0067d45946ac,porto alegre,True
53,40c5e18f7d112b59b3e5113a59a905b3,67407057a7d5ee17d1cd09523f484d13,rio de janeiro,False
54,734e7d1bbaeb2ff82521ca0fe6fb6f79,2932d241d1f31e6df6c701d52370ae02,sao paulo,True
56,a685d016c8a26f71a0bb67821070e398,911e4c37f5cafe1604fe6767034bf1ae,campinas,False
57,2edfd6d1f0b4cd0db4bf37b1b224d855,241e78de29b3090cfa1b5d73a8130c72,sao paulo,True
58,68873cf91053cd11e6b49a766db5af1a,4632eb5a8f175f6fe020520ae0c678f3,sao paulo,True
59,f346ad4ee8f630e5e4ddaf862a34e6dd,dd5095632e3953fc0947b8ab5176b0be,brasilia,True
60,8f06cc6465925031568537b815f1198d,9916715c2ab6ee1710c9c32f0a534ad2,rio de janeiro,True
65,68e48e68da1f50f7c5838ea75e3a20dd,4afc1dcca5fe8926fc97d60a4497f8ab,sao paulo,True
68,a6aeb116d2cb5013eb8a94585b71ffef,bb2f5e670f7155dc622c57e4b31d0a69,sao paulo,True
76,6d25592267349b322799e2beb687871e,5bb39c890c91b1d26801aa19a9336eac,sao paulo,True
78,2711a938db643b3f0b62ee2c8a2784aa,29cb486c739f9774c8eb542e07b56cd2,brasilia,False
79,3bc77ce8be27211bac313c2daa402d1a,bf141bf67fbe428d558bcf0e018eab60,belo horizonte,True
88,0e782c3705510e717d28907746cbda82,3a897024068ed42a183de61d5727d866,sao paulo,True
92,f169bd689fb8b32ccd62df9050aebc0b,82f0b75bb50fcb30711e5277e36b3983,sao paulo,False
94,41bb5cee06dbf170878a9ef93ac7e7f5,1833a0540067becaf59368fe4cd4303a,sao paulo,True
95,6a0a8bfbbe700284feb0845d95e0867f,68451b39b1314302c08c65a29f1140fc,rio de janeiro,False
103,a6cd683d4bd3b9b1f0aa37b27f8116d3,48f239e15744ed5e7ffbafc6bb6e882b,salvador,False
106,af5b0604e113e1526593d505a26ef39d,b896b244963dc7543d400ad82d6710e0,sao paulo,True
108,4da3bd761ca73d692ae0f5c252495546,65ee4aa816cda8ad41e05c75e1cb691e,rio de janeiro,True
109,80d817467dc3d0a4bb5ab8986c962b1f,a4a2abd07b1cdd4902cf245cdfa1451d,brasilia,True
110,c75acba615d2db29345327974641467d,2b47ff70d422cc3ada976dea40f48782,rio de janeiro,True
113,4b3a605942f29d490cb74bd6ace6b9f0,e8a332c3433fbd37920ec89fc295d075,porto alegre,True
114,1c35ac660d7ef6691b25d20df3d6eccb,68c85132eb3b96fbe6cbddc09a568d24,sao paulo,True
117,ee0c5c649e17808bc4a363d3a80ebf85,cc3590e4afbb4b3e056b50a80a6a7d0c,rio de janeiro,False
120,e37797aedc7cd4ef82278fbc169eecaf,4c9c7c2b6de6ee2568681b5599bb7495,sao paulo,True
